company_id,name,sector,cagr,sfr,margin,investing_score
363,Imax Corporation,Gaming & virtual environments,0.26624366257685983,3.3942778757593572,0.049178326443465224,0.6332599693551013
370,Teads,Advertising & attention,0.03779915172584514,0.8707578496083516,0.034945635999076616,0.4655179503946566
378,AMC Networks Inc.,Subscription content,0.32724425813745994,,0.1571831110394826,0.6286601507991281
393,Moelis & Company,Fintech & payments,,,,
402,Grainger,E-commerce platforms,0.554376315007385,,0.07764445479962721,0.7472392924653298
411,Coupa,Enterprise / ERP / HRM,,0.27970293330942453,0.1476038626996781,0.6739908391965282
421,CDW,Enterprise / ERP / HRM,0.4346993330363742,,0.05534197661345674,0.6807322511192272
422,Caterpillar,Enterprise / ERP / HRM,0.5497639736031967,3.6858092074038917,0.11982903609066642,0.7535887883136595
428,Flywire,Fintech & payments,0.3901389157516044,0.10579552478466665,0.015637965848479818,0.5745625639629451
431,Vivid Seats,Marketplaces & gig platforms,1.296810046087851,,0.1092259432324376,0.9720364421812709
432,Waystar,Fintech & payments,,2.104233726294208,0.10877442506960423,0.767695845148775
435,Boeing,Enterprise / ERP / HRM,-0.09912441426967378,-1.0115487118744448,-0.03194921563761282,0.35551548660924875
449,Dropbox,Productivity & collaboration,0.0741837229174489,0.6991665564228072,0.2455159361692976,0.483170455417218
456,Motorola Solutions,Enterprise / ERP / HRM,,2.3513119533527695,,0.6268546431426477
472,OppFi,Fintech & payments,,,,
482,Sprout Social,Productivity & collaboration,0.32186052683434485,-0.18477765479523406,-0.04472319838630884,0.5366850969970829
486,Fortune Brands Innovations,E-commerce platforms,0.29090498690857114,,0.3639211905766102,0.6218561808436918
494,EDGE,Fintech & payments,,-1.1683407173177611,,0.2543656932781346
527,Ryan Specialty,Fintech & payments,,,0.13579007337951118,0.9386390326109083
538,Constellation Brands,E-commerce platforms,0.029695597608779378,,1.2133650416171224,0.49173950996285887
543,Accelerated Digital Media,Advertising & attention,0.2107155024275691,,-0.09338916577725498,0.54954964441463
548,G2,Marketplaces & gig platforms,,,,
551,E2open,Enterprise / ERP / HRM,0.20089734008424487,0.12401476478111656,0.022830538273969667,0.5033891155774891
553,Root,Fintech & payments,1.1926460821269824,,-0.5127701375245579,0.9330272334243097
556,Airbnb,Marketplaces & gig platforms,0.3464350062843753,0.7497526120178495,0.13520329262754022,0.5836133773561655
560,CVS Health,GovTech / RegTech / MedTech,0.1346118825912328,,0.050166373613424006,0.5171499607769848
564,OneSpan,Cybersecurity & identity,,0.02976161576928679,-0.011675584629911615,0.6491107530997876
