company_id,company_name,cik,matched_name
1724,Lyft,1759509,"Lyft, Inc."
1731,ImmunityBio,1326110,"ImmunityBio, Inc."
1741,Porch Group,1784535,"Porch Group, Inc."
1743,"Immunome, Inc.",1472012,Immunome Inc.
1808,CoStar Group,1057352,"COSTAR GROUP, INC."
1809,Blue Nile,1091171,BLUE NILE INC
1814,WatchGuard,1062019,WATCHGUARD TECHNOLOGIES INC
1824,Snowflake,1640147,Snowflake Inc.
1828,Coupang,1834584,"Coupang, Inc."
1830,Sonos,1314727,Sonos Inc
1831,Okta,1660134,"Okta, Inc."
1840,"Sana Biotechnology, Inc.",1770121,"Sana Biotechnology, Inc."
1842,Prologis,899881,PROLOGIS TRUST
1854,Pinterest,1506293,"PINTEREST, INC."
1857,Rockwell Automation,1024478,ROCKWELL  AUTOMATION INC
1862,DoorDash,1792789,"DoorDash, Inc."
1866,RealNetworks,1046327,REALNETWORKS INC
1870,Cloudera,1535379,"Cloudera, Inc."
1892,Duolingo,1562088,"Duolingo, Inc."
1893,Robinhood,1783879,"Robinhood Markets, Inc."
1895,PEMCO,771729,PEMCO AVIATION GROUP INC
1901,Expedia Group,1324424,"Expedia Group, Inc."
1902,Avante,1504388,"Avante Systems, Inc."
1904,Digital Turbine,317788,"Digital Turbine, Inc."
1906,Capital Group,1085621,INTERNET CAPITAL GROUP INC
1914,Zillow,1617640,"ZILLOW GROUP, INC."
1916,Pivotal Ventures,1086329,PIVOTAL CORP
1917,Karat,1385872,"Karat Platinum, Inc."
1928,Brightcove,1313275,BRIGHTCOVE INC
1929,F5,1048695,F5 NETWORKS INC
1932,Nordstrom,72333,NORDSTROM INC
1942,Monolithic Power Systems,1280452,MONOLITHIC POWER SYSTEMS INC
1947,DNA,1419995,DNA BRANDS INC
1951,Convera,1125536,CONVERA CORP
1954,Impinj,1114995,IMPINJ INC
1963,Redfin,1382821,Redfin Corp
1965,NVIDIA,1045810,NVIDIA CORP
1973,GoDaddy,1609711,GoDaddy Inc.
1974,springbig,1801602,"SpringBig Holdings, Inc."
1979,Stryker,310764,STRYKER CORP
1984,Meta,1326801,"Meta Platforms, Inc."
2001,Arcadia,1071941,"ARCADIA RESOURCES, INC"
2021,Dynatrace,1773383,"Dynatrace, Inc."
2023,Rapid7,1560327,"Rapid7, Inc."
2032,Imprivata,1328015,Imprivata Inc
2047,Definitive Healthcare,1861795,Definitive Healthcare Corp.
2048,CarGurus,1494259,"CarGurus, Inc."
2061,Onto Innovation,704532,ONTO INNOVATION INC.
2086,Semrush,1831840,"SEMrush Holdings, Inc."
2087,athenahealth,1131096,ATHENAHEALTH INC
2090,Kymera Therapeutics,1815442,"Kymera Therapeutics, Inc."
2093,Dianthus Therapeutics,1690585,"Dianthus Therapeutics, Inc. /DE/"
2099,Keros Therapeutics,1664710,"Keros Therapeutics, Inc."
2101,Intellia Therapeutics,1652130,"Intellia Therapeutics, Inc."
2103,Veralto,1967680,Veralto Corp
2114,Ironwood Pharmaceuticals,1446847,IRONWOOD PHARMACEUTICALS INC
2116,Vicarious Surgical,1812173,Vicarious Surgical Inc.
2121,Scholar Rock,1727196,Scholar Rock Holding Corp
2122,BeiGene,1651308,"BeiGene, Ltd."
2126,Centessa Pharmaceuticals,1847903,Centessa Pharmaceuticals plc
2129,Bright Horizons,1437578,BRIGHT HORIZONS FAMILY SOLUTIONS INC.
2131,Mimecast,1644675,Mimecast Ltd
2142,Entegris,1101302,ENTEGRIS INC
2145,Vertex Pharmaceuticals,875320,VERTEX PHARMACEUTICALS INC / MA
2146,Fractyl Health,1572616,"FRACTYL HEALTH, INC."
2150,Beam Therapeutics,1745999,Beam Therapeutics Inc.
2157,LPL Financial,1397911,LPL Financial Holdings Inc.
2159,Relay Therapeutics,1812364,"Relay Therapeutics, Inc."
2170,Aura,826253,AURA SYSTEMS INC
2173,RSA Security,932064,RSA SECURITY INC/DE/
2185,ZOE,1594879,"Zoe's Kitchen, Inc."
2189,Bicycle Therapeutics,1761612,BICYCLE THERAPEUTICS plc
2201,"Nuvalent, Inc.",1861560,"Nuvalent, Inc."
2243,Acadian Asset Management,1748824,Acadian Asset Management Inc.
2247,Akoya,1711933,"Akoya Biosciences, Inc."
2261,SES AI,1819142,SES AI Corp
2265,Symbotic,1837240,Symbotic Inc.
2276,Cerence Inc.,1768267,Cerence Inc.
2277,"KalVista Pharmaceuticals, Inc.",1348911,"KalVista Pharmaceuticals, Inc."
2284,Maxima Consulting,1596448,MAXIMA GROUP INC.
2285,"The TJX Companies, Inc.",109198,TJX COMPANIES INC /DE/
2300,"CIRCOR International, Inc.",1091883,CIRCOR INTERNATIONAL INC
2301,Xenon Pharmaceuticals Inc.,1582313,Xenon Pharmaceuticals Inc.
2303,Forrester,1023313,FORRESTER RESEARCH INC
2326,Prime Medicine,1894562,"Prime Medicine, Inc."
2352,Foghorn Therapeutics,1822462,Foghorn Therapeutics Inc.
